"NUTS3","Name","Amount"
"AT111","Mittelburgenland",21
"AT112","Nordburgenland",425
"AT113","Südburgenland",36
"AT121","Mostviertel-Eisenwurzen",362
"AT122","Niederösterreich-Süd",355
"AT123","Sankt Pölten",1555
"AT124","Waldviertel",280
"AT125","Weinviertel",344
"AT126","Wiener Umland/Nordteil",419
"AT127","Wiener Umland/Südteil",710
"AT130","Wien",17347
"AT211","Klagenfurt-Villach",1125
"AT212","Oberkärnten",62
"AT213","Unterkärnten",185
"AT221","Graz",2112
"AT222","Liezen",76
"AT223","Östliche Obersteiermark",175
"AT224","Oststeiermark",351
"AT225","West- und Südsteiermark",203
"AT226","Westliche Obersteiermark",96
"AT311","Innviertel",432
"AT312","Linz-Wels",2110
"AT313","Mühlviertel",128
"AT314","Steyr-Kirchdorf",111
"AT315","Traunviertel",218
"AT321","Lungau",45
"AT322","Pinzgau-Pongau",397
"AT323","Salzburg und Umgebung",1373
"AT331","Außerfern",35
"AT332","Innsbruck",2026
"AT333","Osttirol",64
"AT334","Tiroler Oberland",223
"AT335","Tiroler Unterland",382
"AT341","Bludenz-Bregenzer Wald",425
"AT342","Rheintal-Bodenseegebiet",1134
