"NUTS3","Name","Amount"
"BE100","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad",28493
"BE211","Arr. Antwerpen",6959
"BE212","Arr. Mechelen",2563
"BE213","Arr. Turnhout",1926
"BE221","Arr. Hasselt",2689
"BE222","Arr. Maaseik",623
"BE223","Arr. Tongeren",876
"BE231","Arr. Aalst",1173
"BE232","Arr. Dendermonde",581
"BE233","Arr. Eeklo",308
"BE234","Arr. Gent",6392
"BE235","Arr. Oudenaarde",271
"BE236","Arr. Sint-Niklaas",1054
"BE241","Arr. Halle-Vilvoorde",2198
"BE242","Arr. Leuven",3497
"BE251","Arr. Brugge",2788
"BE252","Arr. Diksmuide",134
"BE253","Arr. Ieper",399
"BE254","Arr. Kortrijk",1091
"BE255","Arr. Oostende",1056
"BE256","Arr. Roeselare",795
"BE257","Arr. Tielt",253
"BE258","Arr. Veurne",374
"BE310","Arr. Nivelles",1632
"BE321","Arr. Ath",213
"BE322","Arr. Charleroi",3932
"BE323","Arr. Mons",2072
"BE324","Arr. Mouscron",237
"BE325","Arr. Soignies",870
"BE326","Arr. Thuin",347
"BE327","Arr. Tournai",781
"BE331","Arr. Huy",300
"BE332","Arr. Liège",6022
"BE334","Arr. Waremme",110
"BE335","Arr. Verviers - communes francophones",839
"BE336","Bezirk Verviers - Deutschsprachige Gemeinschaft",330
"BE341","Arr. Arlon",630
"BE342","Arr. Bastogne",75
"BE343","Arr. Marche-en-Famenne",179
"BE344","Arr. Neufchâteau",341
"BE345","Arr. Virton",120
"BE351","Arr. Dinant",288
"BE352","Arr. Namur",3526
"BE353","Arr. Philippeville",106
