"Year","Nr. of Tenders"
"2009",7068
"2010",6772
"2011",6206
"2012",7446
"2013",7631
"2014",7516
"2015",7692
"2016",8248
"2017",7385
"2018",5634
"2019",5844
"2020",6007
"2021",6718
"2022",4
