"NUTS3","Name","Amount"
"AT111","Mittelburgenland",121
"AT112","Nordburgenland",1365
"AT113","Südburgenland",64
"AT121","Mostviertel-Eisenwurzen",724
"AT122","Niederösterreich-Süd",429
"AT123","Sankt Pölten",806
"AT124","Waldviertel",517
"AT125","Weinviertel",116
"AT126","Wiener Umland/Nordteil",589
"AT127","Wiener Umland/Südteil",1463
"AT130","Wien",9229
"AT211","Klagenfurt-Villach",991
"AT212","Oberkärnten",212
"AT213","Unterkärnten",581
"AT221","Graz",1853
"AT222","Liezen",29
"AT223","Östliche Obersteiermark",261
"AT224","Oststeiermark",514
"AT225","West- und Südsteiermark",248
"AT226","Westliche Obersteiermark",189
"AT311","Innviertel",509
"AT312","Linz-Wels",3215
"AT313","Mühlviertel",518
"AT314","Steyr-Kirchdorf",314
"AT315","Traunviertel",448
"AT321","Lungau",55
"AT322","Pinzgau-Pongau",277
"AT323","Salzburg und Umgebung",1326
"AT331","Außerfern",8
"AT332","Innsbruck",1051
"AT333","Osttirol",71
"AT334","Tiroler Oberland",113
"AT335","Tiroler Unterland",421
"AT341","Bludenz-Bregenzer Wald",269
"AT342","Rheintal-Bodenseegebiet",718
"BE100","Arr. de Bruxelles-Capitale / Arr. van Brussel-Hoofdstad",3
"BE211","Arr. Antwerpen",3
"BE212","Arr. Mechelen",3
"BE241","Arr. Halle-Vilvoorde",1
"BE254","Arr. Kortrijk",2
"BE256","Arr. Roeselare",1
"BE322","Arr. Charleroi",6
"BE331","Arr. Huy",1
"BE332","Arr. Liège",2
"BE336","Bezirk Verviers - Deutschsprachige Gemeinschaft",1
"BG342","Сливен (Sliven)",4
"BG344","Стара Загора (Stara Zagora)",1
"BG414","Перник (Pernik)",5
"BG415","Кюстендил (Kyustendil)",1
"CH013","Genève",2
"CH021","Bern",10
"CH022","Freiburg",2
"CH023","Solothurn",3
"CH024","Neuchâtel",2
"CH031","Basel-Stadt",2
"CH032","Basel-Landschaft",2
"CH033","Aargau",12
"CH040","Zürich",29
"CH051","Glarus",1
"CH052","Schaffhausen",1
"CH055","St. Gallen",10
"CH056","Graubünden",2
"CH057","Thurgau",6
"CH061","Luzern",2
"CH063","Schwyz",1
"CH065","Nidwalden",2
"CH070","Ticino",1
"CZ010","Hlavní město Praha",3
"CZ020","Středočeský kraj",6
"CZ063","Kraj Vysočina",2
"CZ064","Jihomoravský kraj",2
"CZ071","Olomoucký kraj",3
"CZ080","Moravskoslezský kraj",1
"DE111","Stuttgart, Stadtkreis",26
"DE112","Böblingen",6
"DE113","Esslingen",12
"DE114","Göppingen",1
"DE115","Ludwigsburg",10
"DE116","Rems-Murr-Kreis",11
"DE117","Heilbronn, Stadtkreis",16
"DE118","Heilbronn, Landkreis",4
"DE119","Hohenlohekreis",2
"DE11A","Schwäbisch Hall",4
"DE11B","Main-Tauber-Kreis",2
"DE11C","Heidenheim",6
"DE11D","Ostalbkreis",3
"DE121","Baden-Baden, Stadtkreis",1
"DE122","Karlsruhe, Stadtkreis",9
"DE123","Karlsruhe, Landkreis",26
"DE124","Rastatt",12
"DE125","Heidelberg, Stadtkreis",5
"DE126","Mannheim, Stadtkreis",6
"DE127","Neckar-Odenwald-Kreis",2
"DE128","Rhein-Neckar-Kreis",4
"DE12A","Calw",3
"DE12C","Freudenstadt",5
"DE131","Freiburg im Breisgau, Stadtkreis",5
"DE132","Breisgau-Hochschwarzwald",1
"DE133","Emmendingen",2
"DE134","Ortenaukreis",6
"DE136","Schwarzwald-Baar-Kreis",3
"DE137","Tuttlingen",2
"DE138","Konstanz",1
"DE139","Lörrach",2
"DE13A","Waldshut",3
"DE141","Reutlingen",5
"DE143","Zollernalbkreis",5
"DE144","Ulm, Stadtkreis",9
"DE145","Alb-Donau-Kreis",5
"DE146","Biberach",5
"DE147","Bodenseekreis",2
"DE148","Ravensburg",19
"DE149","Sigmaringen",3
"DE212","München, Kreisfreie Stadt",58
"DE213","Rosenheim, Kreisfreie Stadt",3
"DE214","Altötting",25
"DE215","Berchtesgadener Land",13
"DE216","Bad Tölz-Wolfratshausen",1
"DE218","Ebersberg",6
"DE21A","Erding",1
"DE21B","Freising",9
"DE21C","Fürstenfeldbruck",6
"DE21E","Landsberg am Lech",2
"DE21F","Miesbach",2
"DE21G","Mühldorf a. Inn",1
"DE21H","München, Landkreis",42
"DE21J","Pfaffenhofen a. d. Ilm",2
"DE21K","Rosenheim, Landkreis",43
"DE21L","Starnberg",12
"DE21M","Traunstein",4
"DE21N","Weilheim-Schongau",12
"DE221","Landshut, Kreisfreie Stadt",1
"DE223","Straubing, Kreisfreie Stadt",1
"DE224","Deggendorf",1
"DE227","Landshut, Landkreis",5
"DE228","Passau, Landkreis",23
"DE22A","Rottal-Inn",16
"DE22B","Straubing-Bogen",3
"DE22C","Dingolfing-Landau",3
"DE232","Regensburg, Kreisfreie Stadt",12
"DE235","Cham",2
"DE236","Neumarkt i. d. OPf.",11
